Name,Formula,DeltaMass,MW,m/z,RT,Class of compounds,row_colors,Cluster,SilhouetteScore,HC_Cluster,HC_Silhouette,PCA_Silhouette,OPLS_Silhouette,Average_Silhouette
Coumurrayin,C16 H18 O4,0.08,274.12053,275.12781,9.718,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",1,0.5038528410991386,2,0.45925973651950847,0.6488440851125418,0.5775633566875413,0.5618890594398639
"3,4-Dimethoxyhydrocinnamic acid",C11 H14 O4,0.56,210.08933,211.0966,6.071,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",1,-0.04557120591952765,2,0.4566462009332315,0.4192852721039254,0.43759145216417167,0.4378409750671095
Helenalin,C15 H18 O4,-1.2,262.1202,263.12747,6.747,Terpenoid,"(0.4752000000000003, 0.33999999999999997, 0.86)",1,0.19901535942251825,2,0.5737140070719496,0.2472280281845483,0.46896809347966023,0.42997004291205276
Eugenol,C10 H12 O2,0.15,164.08375,370.20139,9.227,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",1,0.4068694283642869,2,0.4017649197732746,0.6452664175422121,0.581400594865722,0.5428106440604029
Isofraxidin,C11 H10 O5,-0.25,222.05277,223.06004,6.782,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",1,0.12100589558055792,2,0.5910788269894762,0.4277597475281357,0.3887848748611581,0.4692078164595899
robinetin,C15 H10 O7,0.5,302.0428,303.05008,6.857,Flavonoid,"(0.41279999999999994, 0.86, 0.33999999999999997)",1,0.3392664887836116,2,0.4249445582858011,0.6469214191126302,0.03603723564896544,0.36930107101579895
Hexaric acid,C6 H10 O8,-0.99,210.03736,209.03008,0.849,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",3,0.27342599209334123,2,0.6125854768648088,0.5814197353722494,0.6690125387609231,0.6210059169993272
Gallic acid,C7 H6 O5,-1.24,170.02131,169.01404,2.279,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",3,0.16690846100192813,2,0.6083841505780838,0.6268301471181575,0.6241348541365117,0.6197830506109178
Citric acid,C6 H8 O7,-1.01,192.02681,191.01953,1.145,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",3,0.3012379842172342,2,0.6171150585187771,0.6095858620158001,0.6996416114436059,0.642114177326061
"1,3,4,5-Tetrahydroxycyclohexanecarboxylic acid",C7 H12 O6,-1.6,192.06308,191.05582,0.921,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",2,0.23193390052279064,2,0.5630474289152131,0.6155082481068702,0.7163736148137678,0.631643097278617
Ellagic acid,C14 H6 O8,-0.32,302.00617,300.99887,6.864,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",1,0.39766405532934673,2,0.5845415612779498,0.6339392231246809,0.2566207751382659,0.4917005198469655
